onset	duration	valence	arousal	flubber_frequency	flubber_amplitude
506004.7449842229	n/a				1.0
506004.75601169263	n/a				1.0
506004.76717555703	n/a				1.0
506004.77833922155	n/a				1.0
506004.78936929116	n/a				1.0
506004.80044165923	n/a				1.0
506004.81162332295	n/a				1.0
506004.8227635883	n/a				1.0
506004.83387395483	n/a				1.0
506004.8450294196	n/a				1.0
506004.8559497935	n/a				1.0
506004.86712655745	n/a				1.0
506004.8783178208	n/a				1.0
506004.8893150917	n/a				1.0
506004.9003940595	n/a				1.0
506004.91152422526	n/a				1.0
506004.9226969893	n/a				1.0
506004.93374785816	n/a				1.0
506004.9449294219	n/a				1.0
506004.9560145894	n/a				1.0
506004.9671257559	n/a				1.0
506004.97833261866	n/a				1.0
506004.9892956909	n/a				1.0
506005.00037925853	n/a				1.0
506005.0116158201	n/a				1.0
506005.02262699045	n/a				1.0
506005.0336963586	n/a				1.0
506005.0447661267	n/a				1.0
506005.0558688935	n/a				1.0
506005.0670008592	n/a				1.0
506005.07825442014	n/a				1.0
506005.089330888	n/a				1.0
506005.10034945805	n/a				1.0
506005.1114948232	n/a				1.0
506005.1225036937	n/a				1.0
506005.1335713619	n/a				1.0
506005.1448028237	n/a				1.0
506005.1561206821	n/a				1.0
506005.16696435906	n/a				1.0
506005.17821632006	n/a				1.0
506005.18918369216	n/a				1.0
506005.20028605894	n/a				1.0
506005.211432924	n/a				1.0
506005.2226483865	n/a				1.0
506005.23358595977	n/a				1.0
506005.244677227	n/a				1.0
506005.2557786939	n/a				1.0
506005.26710605196	n/a				1.0
506005.2782126186	n/a				1.0
506005.289274287	n/a				1.0
506005.3003919532	n/a				1.0
506005.3113728248	n/a				1.0
506005.3225145901	n/a				1.0
506005.33365345554	n/a				1.0
506005.3446779254	n/a				1.0
506005.3558254905	n/a				1.0
506005.3670284534	n/a				1.0
506005.37815501925	n/a				1.0
506005.38912439125	n/a				1.0
506005.40018015995	n/a				1.0
506005.41130072606	n/a				1.0
506005.42240469286	n/a				1.0
506005.43351135956	n/a				1.0
506005.44471652235	n/a				1.0
506005.45581518934	n/a				1.0
506005.4670520509	n/a				1.0
506005.4779191269	n/a				1.0
506005.489194987	n/a				1.0
506005.500190658	n/a				1.0
506005.5112512265	n/a				1.0
506005.5223404938	n/a				1.0
506005.5335561562	n/a				1.0
506005.54461002495	n/a				1.0
506005.55576118984	n/a				1.0
506005.56692105444	n/a				1.0
506005.57783402863	n/a				1.0
506005.5890955893	n/a				1.0
506005.6000405622	n/a				1.0
506005.611247525	n/a				1.0
506005.6226479802	n/a				1.0
506005.6335048566	n/a				1.0
506005.6445820244	n/a				1.0
506005.6556171939	n/a				1.0
506005.6667106611	n/a				1.0
506005.6778977246	n/a				1.0
506005.689190184	n/a				1.0
506005.6999925625	n/a				1.0
506005.71125962294	n/a				1.0
506005.7222917925	n/a				1.0
506005.7334155585	n/a				1.0
506005.7445764231	n/a				1.0
506005.75552139606	n/a				1.0
506005.7668130555	n/a				1.0
506005.77782582585	n/a				1.0
506005.78901658923	n/a				1.0
506005.8002654504	n/a				1.0
506005.8113442181	n/a				1.0
506005.82225409243	n/a				1.0
506005.8333329602	n/a				1.0
506005.84444852645	n/a				1.0
506005.8555768923	n/a				1.0
506005.8666892588	n/a				1.0
506005.87820440944	n/a				1.0
506005.889006088	n/a				1.0
506005.90013055404	n/a				1.0
506005.91114252433	n/a				1.0
506005.9222260919	n/a				1.0
506005.93332245905	n/a				1.0
506005.94438492745	n/a				1.0
506005.95550459356	n/a				1.0
506005.9665847612	n/a				1.0
506005.9777111272	n/a				1.0
506005.98891688994	n/a				1.0
506005.99995285936	n/a				1.0
506006.011189321	n/a				1.0
506006.0222853881	n/a				1.0
506006.0333183576	n/a				1.0
506006.0443767262	n/a				1.0
506006.0554624936	n/a				1.0
506006.0666063588	n/a				1.0
506006.0778267211	n/a				1.0
506006.0889889856	n/a				1.0
506006.09991675924	n/a				1.0
506006.1110277257	n/a				1.0
506006.1220742947	n/a				1.0
506006.1331416629	n/a				1.0
506006.14442202286	n/a				1.0
506006.1554501926	n/a				1.0
506006.16655475926	n/a				1.0
506006.17764872644	n/a				1.0
506006.1887678926	n/a				1.0
506006.1998471604	n/a				1.0
506006.21112502035	n/a				1.0
506006.2220176953	n/a				1.0
506006.23317875987	n/a				1.0
506006.24450811784	n/a				1.0
506006.2553907933	n/a				1.0
506006.266470461	n/a				1.0
506006.27760392666	n/a				1.0
506006.288771191	n/a				1.0
506006.2997744616	n/a				1.0
506006.3109811244	n/a				1.0
506006.3220789914	n/a				1.0
506006.33318215824	n/a				1.0
506006.34431272396	n/a				1.0
506006.35546438885	n/a				1.0
506006.3663982622	n/a				1.0
506006.3775562269	n/a				1.0
506006.38864849415	n/a				1.0
506006.3997417613	n/a				1.0
506006.4110302209	n/a				1.0
506006.4220623905	n/a				1.0
506006.43308706034	n/a				1.0
506006.4441546285	n/a				1.0
506006.4552893941	n/a				1.0
506006.4665494547	n/a				1.0
506006.4775675249	n/a				1.0
506006.48878978705	n/a				1.0
506006.50012744474	n/a				1.0
506006.51099372073	n/a				1.0
506006.5219445935	n/a				1.0
506006.53300306207	n/a				1.0
506006.54406993027	n/a				1.0
506006.5552907925	n/a				1.0
506006.5663063627	n/a				1.0
506006.5774268288	n/a				1.0
506006.58866159053	n/a				1.0
506006.59974595805	n/a				1.0
506006.6108079264	n/a				1.0
506006.62192639266	n/a				1.0
506006.6330529585	n/a				1.0
506006.64402933023	n/a				1.0
506006.6551697956	n/a				1.0
506006.6662990614	n/a				1.0
506006.6775399228	n/a				1.0
506006.6886265903	n/a				1.0
506006.6995692634	n/a				1.0
506006.71081782447	n/a				1.0
506006.7218399944	n/a				1.0
506006.7329938593	n/a				1.0
506006.74399603	n/a				1.0
506006.7552375914	n/a				1.0
506006.7663117593	n/a				1.0
506006.7775058226	n/a				1.0
506006.78855939134	n/a				1.0
506006.7996500586	n/a				1.0
506006.81078552414	n/a				1.0
506006.8217499964	n/a				1.0
506006.8328478634	n/a				1.0
506006.84398822876	n/a				1.0
506006.85509349545	n/a				1.0
